ASMID,SPECIES,STRAIN,BIOPROJECT,NCBI_TAXONID,BUSCO_LINEAGE,PHYLUM,SUBPHYLUM,CLASS,SUBCLASS,ORDER,FAMILY,GENUS,SPECIES,LOCUSTAG
GCA_001983365.1_ASM198336v1,Amanita bisporigera,Ingham01,PRJNA339438,87325,dikarya,Basidiomycota,,Agaricomycetes,,Agaricales,Amanitaceae,Amanita,Amanita bisporigera,FB348870
GCA_001691785.3_ASM169178v3,Amanita brunnescens Koide BX004,Koide BX004,PRJNA236753,1457509,dikarya,Basidiomycota,,Agaricomycetes,,Agaricales,Amanitaceae,Amanita,Amanita brunnescens,FE0DD6EA
GCA_023014455.1_ASM2301445v1,Amanita exitialis,LH00005,PRJNA679796,262245,dikarya,Basidiomycota,,Agaricomycetes,,Agaricales,Amanitaceae,Amanita,Amanita exitialis,F0A03C30
GCA_023014435.1_ASM2301443v1,Amanita fuliginea,LH00002,PRJNA679796,67708,dikarya,Basidiomycota,,Agaricomycetes,,Agaricales,Amanitaceae,Amanita,Amanita fuliginea,F7E3887E
GCA_001691775.3_ASM169177v3,Amanita inopinata Kibby_2008,Kibby_2008,PRJNA236757,1457513,dikarya,Basidiomycota,,Agaricomycetes,,Agaricales,Amanitaceae,Amanita,Amanita inopinata,F97183DC
GCA_000497225.1_AmaJack1.0,Amanita jacksonii TRTC168611,,PRJNA226613,1417757,dikarya,Basidiomycota,,Agaricomycetes,,Agaricales,Amanitaceae,Amanita,Amanita jacksonii,F36CABC3
GCA_023014405.1_ASM2301440v1,Amanita molliuscula,LH00009,PRJNA679796,1506954,dikarya,Basidiomycota,,Agaricomycetes,,Agaricales,Amanitaceae,Amanita,Amanita molliuscula,FA685757
GCA_000827485.1_Amanita_muscaria_Koide_BX008_v1.0,Amanita muscaria Koide BX008,Koide BX008,PRJNA207684,946122,dikarya,Basidiomycota,,Agaricomycetes,,Agaricales,Amanitaceae,Amanita,Amanita muscaria,F092CD58
GCA_023014475.1_ASM2301447v1,Amanita pallidorosea,LH00007,PRJNA679796,1324310,dikarya,Basidiomycota,,Agaricomycetes,,Agaricales,Amanitaceae,Amanita,Amanita pallidorosea,F4C75376
GCA_032173475.1_ASM3217347v1,Amanita phalloides,,PRJNA565149,67723,dikarya,Basidiomycota,,Agaricomycetes,,Agaricales,Amanitaceae,Amanita,Amanita phalloides,F958615C
GCA_001691755.2_ASM169175v2,Amanita polypyramis BW_CC,BW_CC,PRJNA236755,1457511,dikarya,Basidiomycota,,Agaricomycetes,,Agaricales,Amanitaceae,Amanita,Amanita polypyramis,F4A89037
GCA_003316615.1_ASM331661v1,Amanita pseudoporphyria,MG37,PRJNA454572,67725,dikarya,Basidiomycota,,Agaricomycetes,,Agaricales,Amanitaceae,Amanita,Amanita pseudoporphyria,FA234F74
GCA_023014395.1_ASM2301439v1,Amanita rimosa,LH00003,PRJNA679796,580330,dikarya,Basidiomycota,,Agaricomycetes,,Agaricales,Amanitaceae,Amanita,Amanita rimosa,F3C410A9
GCA_015039365.1_Amarub1,Amanita rubescens,Prilba,PRJNA572471,71933,dikarya,Basidiomycota,,Agaricomycetes,,Agaricales,Amanitaceae,Amanita,Amanita rubescens,F9FFFFCA
GCA_020011035.1_ASM2001103v1,Amanita subjunquillea,LH00001,PRJNA679796,67733,dikarya,Basidiomycota,,Agaricomycetes,,Agaricales,Amanitaceae,Amanita,Amanita subjunquillea,F2E2A438
GCA_002554575.1_Amanita_thiersii_v1.0,Amanita thiersii Skay4041,SKay4041,PRJNA82749,703135,dikarya,Basidiomycota,,Agaricomycetes,,Agaricales,Amanitaceae,Amanita,Amanita thiersii,F424AB2E
GCA_001430945.1_ASM143094v1,Amauroascus niger,UAMH 3544,PRJNA284880,89421,dikarya,Ascomycota,,Eurotiomycetes,,Onygenales,Onygenaceae,Amauroascus,Amauroascus niger,FE1053B4
GCA_001430935.1_ASM143093v1,Amauroascus verrucosus,UAMH 3576,PRJNA284880,2074759,dikarya,Ascomycota,,Eurotiomycetes,,Onygenales,Onygenaceae,Amauroascus,Amauroascus verrucosus,F900CCC1
GCA_017499575.1_ASM1749957v1,Amauroderma rugosum,ACCC 51706,PRJNA562041,483017,dikarya,Basidiomycota,,Agaricomycetes,,Polyporales,Polyporaceae,Amauroderma,Amauroderma rugosum,FB219AA8
GCA_910591945.1_Ambispora_gerdemannii_MT106,Ambispora gerdemannii,MT106,PRJEB45340,144530,mucoromycota,Mucoromycota,,Glomeromycetes,,Archaeosporales,Ambisporaceae,Ambispora,Ambispora gerdemannii,F9F7649B
GCA_910591765.1_Ambispora_leptoticha_FL130A,Ambispora leptoticha,FL130A,PRJEB45340,144679,mucoromycota,Mucoromycota,,Glomeromycetes,,Archaeosporales,Ambisporaceae,Ambispora,Ambispora leptoticha,F71D2AD7
GCA_030294605.1_ASM3029460v1,Ambrosiella beaveri,CBS 121753,PRJNA948168,573041,dikarya,Ascomycota,,Sordariomycetes,,Microascales,Ceratocystidaceae,Ambrosiella,Ambrosiella beaveri,FFA10D02
GCA_017139545.1_ASM1713954v1,Ambrosiella cleistominuta,CBS 141682,PRJNA631592,1906498,dikarya,Ascomycota,,Sordariomycetes,,Microascales,Ceratocystidaceae,Ambrosiella,Ambrosiella cleistominuta,FFBC5073
GCA_002778035.1_ASM277803v1,Ambrosiella xylebori,CBS 110.61,PRJNA395605,44383,dikarya,Ascomycota,,Sordariomycetes,,Microascales,Ceratocystidaceae,Ambrosiella,Ambrosiella xylebori,F7080087
GCA_003705185.2_ASM370518v2,Ambrosiozyma ambrosiae,NRRL Y-7524,PRJNA429441,53487,dikarya,Ascomycota,,Saccharomycetes,,Saccharomycetales,Pichiaceae,Ambrosiozyma,Ambrosiozyma ambrosiae,FD173A44
GCA_030567475.1_ASM3056747v1,Ambrosiozyma angophorae,NRRL Y-7118,PRJNA736342,53648,dikarya,Ascomycota,,Saccharomycetes,,Saccharomycetales,Pichiaceae,Ambrosiozyma,Ambrosiozyma angophorae,F9B8AE0B
GCA_030579935.1_ASM3057993v1,Ambrosiozyma cicatricosa,NRRL Y-17594T,PRJNA736342,44082,dikarya,Ascomycota,,Saccharomycetes,,Saccharomycetales,Pichiaceae,Ambrosiozyma,Ambrosiozyma cicatricosa,F223FFD1
GCA_030572235.1_ASM3057223v1,Ambrosiozyma kamigamensis,NRRL Y-63629,PRJNA736342,1382202,dikarya,Ascomycota,,Saccharomycetes,,Saccharomycetales,Pichiaceae,Ambrosiozyma,Ambrosiozyma kamigamensis,F011C435
GCA_001599075.1_JCM_15019_assembly_v001,Ambrosiozyma kashinagicola,JCM 15019,PRJDB3608,489715,dikarya,Ascomycota,,Saccharomycetes,,Saccharomycetales,Pichiaceae,Ambrosiozyma,Ambrosiozyma kashinagicola,F97E0C66
GCA_030568425.1_ASM3056842v1,Ambrosiozyma llanquihuensis,NRRL Y-17657,PRJNA736342,51920,dikarya,Ascomycota,,Saccharomycetes,,Saccharomycetales,Pichiaceae,Ambrosiozyma,Ambrosiozyma llanquihuensis,F3CA2D9F
GCA_003706635.2_ASM370663v2,Ambrosiozyma maleeae,NRRL Y-63635,PRJNA429441,904902,dikarya,Ascomycota,,Saccharomycetes,,Saccharomycetales,Pichiaceae,Ambrosiozyma,Ambrosiozyma maleeae,F6F46717
GCA_001599995.1_JCM_7599_assembly_v001,Ambrosiozyma monospora,JCM 7599,PRJDB3677,43982,dikarya,Ascomycota,,Saccharomycetes,,Saccharomycetales,Pichiaceae,Ambrosiozyma,Ambrosiozyma monospora,F8CF5BA2
GCA_030567495.1_ASM3056749v1,Ambrosiozyma neoplatypodis,NRRL Y-63630,PRJNA736342,1382203,dikarya,Ascomycota,,Saccharomycetes,,Saccharomycetales,Pichiaceae,Ambrosiozyma,Ambrosiozyma neoplatypodis,F522CD09
GCA_003706315.3_ASM370631v3,Ambrosiozyma oregonensis,NRRL Y-6106,PRJNA429441,1382206,dikarya,Ascomycota,,Saccharomycetes,,Saccharomycetales,Pichiaceae,Ambrosiozyma,Ambrosiozyma oregonensis,F7BE696F
GCA_003707675.3_ASM370767v3,Ambrosiozyma philentoma,NRRL Y-7523,PRJNA429441,43984,dikarya,Ascomycota,,Saccharomycetes,,Saccharomycetales,Pichiaceae,Ambrosiozyma,Ambrosiozyma philentoma,FEC3FC83
GCA_030557395.1_ASM3055739v1,Ambrosiozyma platypodis,NRRL Y-6732,PRJNA736342,36918,dikarya,Ascomycota,,Saccharomycetes,,Saccharomycetales,Pichiaceae,Ambrosiozyma,Ambrosiozyma platypodis,FA733804
GCA_003707895.3_ASM370789v3,Ambrosiozyma pseudovanderkliftii,NRRL Y-63632,PRJNA429441,489716,dikarya,Ascomycota,,Saccharomycetes,,Saccharomycetales,Pichiaceae,Ambrosiozyma,Ambrosiozyma pseudovanderkliftii,FFFFA448
GCA_003705225.2_ASM370522v2,Ambrosiozyma vanderkliftii,NRRL Y-63633,PRJNA429441,489717,dikarya,Ascomycota,,Saccharomycetes,,Saccharomycetales,Pichiaceae,Ambrosiozyma,Ambrosiozyma vanderkliftii,F8EAC89D
GCA_004802645.1_ASM480264v1,Amesia nigricolor,F5,PRJNA530288,1934353,dikarya,Ascomycota,,Sordariomycetes,,Sordariales,Chaetomiaceae,Amesia,Amesia nigricolor,FC761306
GCA_010015725.1_Amnli1,Amniculicola lignicola CBS 123094,CBS 123094,PRJNA217192,1392246,dikarya,Ascomycota,,Dothideomycetes,,Pleosporales,Amniculicolaceae,Amniculicola,Amniculicola lignicola,F9E7F636
GCA_018985225.1_ASM1898522v1,Amoeboradix gromovi,X-113,PRJNA668693,2109901,fungi,Sanchytriomycota,,Sanchytriomycetes,,Sanchytriales,Sanchytriaceae,Amoeboradix,Amoeboradix gromovi,F8E7AE41
GCF_003019875.1_Amore1,Amorphotheca resinae ATCC 22711,ATCC 22711,PRJNA207866,857342,dikarya,Ascomycota,,Leotiomycetes,,Helotiales,Amorphothecaceae,Amorphotheca,Amorphotheca resinae,F7B2FC32
GCA_018398575.1_ASM1839857v1,Ampelomyces quisqualis,BRIP 72107,PRJNA725554,50730,dikarya,Ascomycota,,Dothideomycetes,,Pleosporales,Phaeosphaeriaceae,Ampelomyces,Ampelomyces quisqualis,F8902A33
GCA_001875675.1_ASM187567v1,Amphiamblys sp. WSBS2006,WSBS2006,PRJNA321520,1866961,fungi,Microsporidia,,,,,Amphiacanthidae,Amphiamblys,Amphiamblys sp. WSBS2006,F470390A
GCA_004123355.1_ASM412335v1,Amphirosellinia nigrospora,JS-1675,PRJNA515207,743113,dikarya,Ascomycota,,Sordariomycetes,,Xylariales,Xylariaceae,Amphirosellinia,Amphirosellinia nigrospora,F4D7945E
GCA_019669835.1_Amyenc1,Amylocarpus encephaloides,TRa018bII,PRJNA347005,45428,dikarya,Ascomycota,,Leotiomycetes,,Helotiales,,Amylocarpus,Amylocarpus encephaloides,FA79BEBB
GCA_022376435.1_Amylap1_1,Amylocystis lapponica,SKaAmylap13,PRJNA370002,202700,dikarya,Basidiomycota,,Agaricomycetes,,Polyporales,Postiaceae,Amylocystis,Amylocystis lapponica,FF584383
GCA_036971615.1_ASM3697161v1,Amyloporia xantha,YAFMF0618,PRJNA1048181,1333629,dikarya,Basidiomycota,,Agaricomycetes,,Polyporales,Adustoporiaceae,Amyloporia,Amyloporia xantha,FBE9B343
GCA_012932865.1_ASM1293286v1,Amylostereum areolatum,HG-01,PRJNA513942,103385,dikarya,Basidiomycota,,Agaricomycetes,,Russulales,Stereaceae,Amylostereum,Amylostereum areolatum,FA8D86EB
GCA_022385825.1_Amycha1,Amylostereum chailletii,DWAch2,PRJNA265560,55340,dikarya,Basidiomycota,,Agaricomycetes,,Russulales,Stereaceae,Amylostereum,Amylostereum chailletii,FEF92505
GCA_002104895.1_Anaeromyces_sp._S4_v1.0,Anaeromyces robustus,S4,PRJNA330692,1754192,fungi,Chytridiomycota,,Neocallimastigomycetes,,Neocallimastigales,Neocallimastigaceae,Anaeromyces,Anaeromyces robustus,F76F2617
GCA_038502455.1_ASM3850245v1,Anisogramma anomala,OR1,PRJNA966177,529478,dikarya,Ascomycota,,Sordariomycetes,,Diaporthales,Valsaceae,Anisogramma,Anisogramma anomala,FB9EBF66
GCA_000385875.2_Annc_alge_insect_USDA_JJB_V2,Anncaliia algerae PRA339,PRA339,PRJNA188095,1288291,fungi,Microsporidia,,,,,Tubulinosematidae,Anncaliia,Anncaliia algerae,FF24C1C4
GCA_022836615.1_Annbov1,Annulohypoxylon bovei var. microspora,CBS 124037,PRJNA567100,326617,dikarya,Ascomycota,,Sordariomycetes,,Xylariales,Hypoxylaceae,Annulohypoxylon,Annulohypoxylon bovei,F072FF26
GCF_022496945.1_Annmae1,Annulohypoxylon maeteangense,CBS 123835,PRJNA583852,1927788,dikarya,Ascomycota,,Sordariomycetes,,Xylariales,Hypoxylaceae,Annulohypoxylon,Annulohypoxylon maeteangense,F084B9C9
GCA_022695765.1_Annmor1,Annulohypoxylon moriforme,CBS 123579,PRJNA567194,326622,dikarya,Ascomycota,,Sordariomycetes,,Xylariales,Hypoxylaceae,Annulohypoxylon,Annulohypoxylon moriforme,FE6C0C0A
GCA_022496965.1_Annnit1,Annulohypoxylon nitens,CBS 120705,PRJNA567196,326626,dikarya,Ascomycota,,Sordariomycetes,,Xylariales,Hypoxylaceae,Annulohypoxylon,Annulohypoxylon nitens,FD0C231D
GCA_040104375.1_ASM4010437v1,Annulohypoxylon sp. FPYF3050,FPYF3050,PRJNA1116787,2857486,dikarya,Ascomycota,,Sordariomycetes,,Xylariales,Hypoxylaceae,Annulohypoxylon,Annulohypoxylon sp. FPYF3050,F21010A9
GCA_040126005.1_TJAS01,Annulohypoxylon stygium,TJAS01,PRJNA1119705,326628,dikarya,Ascomycota,,Sordariomycetes,,Xylariales,Hypoxylaceae,Annulohypoxylon,Annulohypoxylon stygium,FFCAF2BB
GCF_022578515.1_Anntru1,Annulohypoxylon truncatum,CBS 140777,PRJNA567198,327061,dikarya,Ascomycota,,Sordariomycetes,,Xylariales,Hypoxylaceae,Annulohypoxylon,Annulohypoxylon truncatum,F28D8A82
GCA_010623925.1_ASM1062392v1,Antarctomyces pellizariae,UFMG-CB-12416,PRJNA576065,1955577,dikarya,Ascomycota,,Leotiomycetes,,Thelebolales,Thelebolaceae,Antarctomyces,Antarctomyces pellizariae,F4ABCCAB
GCA_963556695.1_KHLLAP,Anthostomella pinea,,PRJEB67537,933095,dikarya,Ascomycota,,Sordariomycetes,,Xylariales,Xylariaceae,Anthostomella,Anthostomella pinea,F9D4A421
GCA_014826065.1_ASM1482606v1,Anthracocystis panici-leucophaei,SPL10,PRJNA648134,249478,dikarya,Basidiomycota,,Ustilaginomycetes,,Ustilaginales,Ustilaginaceae,Anthracocystis,Anthracocystis panici-leucophaei,F72965E8
GCA_928724745.1_BRIP_26904_a,Anthracocystis setariae,BRIP 26904 a,PRJEB50498,882916,dikarya,Basidiomycota,,Ustilaginomycetes,,Ustilaginales,Ustilaginaceae,Anthracocystis,Anthracocystis setariae,FA945640
GCA_928858565.1_RK031,Anthracocystis walkeri,RK 031,PRJEB50362,1134040,dikarya,Basidiomycota,,Ustilaginomycetes,,Ustilaginales,Ustilaginaceae,Anthracocystis,Anthracocystis walkeri,F2DF3BCD
GCA_007674295.1_ASM767429v1,Antonospora locustae,CLX,PRJNA353563,278021,fungi,Microsporidia,,,,,,Antonospora,Antonospora locustae,F11FA1E0
GCA_022598655.1_ASM2259865v1,Antrodia cinnamomea,V5,PRJNA386064,279009,dikarya,Basidiomycota,,Agaricomycetes,,Polyporales,Fomitopsidaceae,Antrodia,Antrodia cinnamomea,F5B59BF0
GCA_004802725.1_ASM480272v1,Antrodiella citrinella,DSM 108506,PRJNA517448,2447956,dikarya,Basidiomycota,,Agaricomycetes,,Polyporales,Steccherinaceae,Antrodiella,Antrodiella citrinella,F2F84183
GCA_015345905.1_ASM1534590v1,Aotearoamyces nothofagi,ICMP 21868,PRJNA666936,2592879,dikarya,Ascomycota,,Leotiomycetes,,Leotiales,Tympanidaceae,Aotearoamyces,Aotearoamyces nothofagi,F0DCC5B3
GCA_014839905.1_ASM1483990v1,Aphanoascus verrucosus,IHEM 4434,PRJNA656725,180776,dikarya,Ascomycota,,Eurotiomycetes,,Onygenales,Onygenaceae,Aphanoascus,Aphanoascus verrucosus,F158362D
GCA_029218145.1_ASM2921814v1,Aphanocladium album,MX95,PRJNA937677,12942,dikarya,Ascomycota,,Sordariomycetes,,Hypocreales,,Aphanocladium,Aphanocladium album,FCE0DFBC
GCA_030549205.1_Apibac1,Apiosordaria backusii,CBS 540.89,PRJNA371214,314023,dikarya,Ascomycota,,Sordariomycetes,,Sordariales,Lasiosphaeriaceae,Apiosordaria,Apiosordaria backusii,F79E968A
GCA_039105305.1_ASM3910530v1,Apiospora arundinis,AAU 773,PRJNA891674,335852,dikarya,Ascomycota,,Sordariomycetes,,Xylariales,Apiosporaceae,Apiospora,Apiospora arundinis,FD8BD657
GCF_038362705.1_ASM3836270v1,Apiospora aurea,CBS 24483,PRJNA923254,335848,dikarya,Ascomycota,,Sordariomycetes,,Xylariales,Apiosporaceae,Apiospora,Apiospora aurea,F40622CD
GCA_040333125.1_ASM4033312v1,Apiospora guizhouensis,F035,PRJNA1116794,2044991,dikarya,Ascomycota,,Sordariomycetes,,Xylariales,Apiosporaceae,Apiospora,Apiospora guizhouensis,FBD2974D
GCF_038363865.1_ASM3836386v1,Apiospora hydei,CBS 114990,PRJNA923254,1337664,dikarya,Ascomycota,,Sordariomycetes,,Xylariales,Apiosporaceae,Apiospora,Apiospora hydei,FE3DEBEB
GCF_038363985.1_ASM3836398v1,Apiospora kogelbergensis,CBS 113332,PRJNA923254,1337665,dikarya,Ascomycota,,Sordariomycetes,,Xylariales,Apiosporaceae,Apiospora,Apiospora kogelbergensis,F106BE0C
GCA_006508115.1_ASM650811v1,Apiospora malaysiana,STlab-iicb,PRJNA484135,1337666,dikarya,Ascomycota,,Sordariomycetes,,Xylariales,Apiosporaceae,Apiospora,Apiospora malaysiana,FC5661A0
GCF_038362585.1_ASM3836258v1,Apiospora marii,CBS 49790,PRJNA923254,335849,dikarya,Ascomycota,,Sordariomycetes,,Xylariales,Apiosporaceae,Apiospora,Apiospora marii,F8C4A3B1
GCF_038363925.1_ASM3836392v1,Apiospora phragmitis,CBS 135458,PRJNA923254,2905665,dikarya,Ascomycota,,Sordariomycetes,,Xylariales,Apiosporaceae,Apiospora,Apiospora phragmitis,F3BD46A3
GCA_019976485.1_ASM1997648v1,Apiospora pterosperma,CBS 123185,PRJNA698786,1337662,dikarya,Ascomycota,,Sordariomycetes,,Xylariales,Apiosporaceae,Apiospora,Apiospora pterosperma,FEF18550
GCA_038363885.1_ASM3836388v1,Apiospora rasikravindrae,CBS 33761,PRJNA923254,990691,dikarya,Ascomycota,,Sordariomycetes,,Xylariales,Apiosporaceae,Apiospora,Apiospora rasikravindrae,F3B33643
GCA_038363915.1_ASM3836391v1,Apiospora saccharicola,CBS 83171,PRJNA923254,335842,dikarya,Ascomycota,,Sordariomycetes,,Xylariales,Apiosporaceae,Apiospora,Apiospora saccharicola,F65FD153
GCA_038364195.1_ASM3836419v1,Apiospora sp. TS-2023a,CBS 14255,PRJNA923254,3021424,dikarya,Ascomycota,,Sordariomycetes,,Xylariales,Apiosporaceae,Apiospora,Apiospora sp. TS-2023a,F72C1F5F
GCA_040366785.1_JCM_6018_assembly_v001,Apiospora sphaerosperma,JCM 6018,PRJDB3638,2938339,dikarya,Ascomycota,,Sordariomycetes,,Xylariales,Apiosporaceae,Apiospora,Apiospora sphaerosperma,F9A897E8
GCA_002973495.1_ASM297349v1,Apiotrichum akiyoshidainum,HP2023,PRJNA428315,279327,dikarya,Basidiomycota,,Tremellomycetes,,Trichosporonales,Trichosporonaceae,Apiotrichum,Apiotrichum akiyoshidainum,FC35D36E
GCA_001600295.1_JCM_1599_assembly_v001,Apiotrichum brassicae,JCM 1599,PRJDB3695,82513,dikarya,Basidiomycota,,Tremellomycetes,,Trichosporonales,Trichosporonaceae,Apiotrichum,Apiotrichum brassicae,F5267376
GCA_040285315.1_ASM4028531v1,Apiotrichum cacaoliposimilis,UB0827,PRJNA1062540,879818,dikarya,Basidiomycota,,Tremellomycetes,,Trichosporonales,Trichosporonaceae,Apiotrichum,Apiotrichum cacaoliposimilis,F7380357
GCA_001599015.1_JCM_9580_assembly_v001,Apiotrichum domesticum,JCM 9580,PRJDB3573,82514,dikarya,Basidiomycota,,Tremellomycetes,,Trichosporonales,Trichosporonaceae,Apiotrichum,Apiotrichum domesticum,F962C521
GCA_001600315.1_JCM_9941_assembly_v001,Apiotrichum gamsii,JCM 9941,PRJDB3703,1105092,dikarya,Basidiomycota,,Tremellomycetes,,Trichosporonales,Trichosporonaceae,Apiotrichum,Apiotrichum gamsii,FF6C5AEB
GCA_001600335.1_JCM_10018_assembly_v001,Apiotrichum gracile,JCM 10018,PRJDB3704,82516,dikarya,Basidiomycota,,Tremellomycetes,,Trichosporonales,Trichosporonaceae,Apiotrichum,Apiotrichum gracile,F48A4361
GCA_001600735.1_JCM_2947_assembly_v001,Apiotrichum laibachii,JCM 2947,PRJDB3730,82520,dikarya,Basidiomycota,,Tremellomycetes,,Trichosporonales,Trichosporonaceae,Apiotrichum,Apiotrichum laibachii,FE1A3286
GCA_001598995.1_JCM_9937_assembly_v001,Apiotrichum montevideense,JCM 9937,PRJDB3572,82521,dikarya,Basidiomycota,,Tremellomycetes,,Trichosporonales,Trichosporonaceae,Apiotrichum,Apiotrichum montevideense,FDF3175D
GCA_013177335.1_ASM1317733v1,Apiotrichum mycotoxinovorans,CICC 1454,PRJNA633776,252803,dikarya,Basidiomycota,,Tremellomycetes,,Trichosporonales,Trichosporonaceae,Apiotrichum,Apiotrichum mycotoxinovorans,F72C339E
GCF_003942205.1_ASM394220v1,Apiotrichum porosum,DSM 27194,PRJNA506377,105984,dikarya,Basidiomycota,,Tremellomycetes,,Trichosporonales,Trichosporonaceae,Apiotrichum,Apiotrichum porosum,F8598B76
GCA_023653615.1_APSI0,Apiotrichum siamense,L8in5,PRJNA812413,265193,dikarya,Basidiomycota,,Tremellomycetes,,Trichosporonales,Trichosporonaceae,Apiotrichum,Apiotrichum siamense,F3CBA606
GCA_025530005.1_ASM2553000v1,Apiotrichum sp. M3315A-1,M3315A-1,PRJNA833221,2950508,dikarya,Basidiomycota,,Tremellomycetes,,Trichosporonales,Trichosporonaceae,Apiotrichum,Apiotrichum sp. M3315A-1,F4E82836
GCA_025531445.1_ASM2553144v1,Apiotrichum sp. PA4207,PA4207,PRJNA833221,2950504,dikarya,Basidiomycota,,Tremellomycetes,,Trichosporonales,Trichosporonaceae,Apiotrichum,Apiotrichum sp. PA4207,FDB92978
GCA_025531405.1_ASM2553140v1,Apiotrichum sp. PDH3304B,PDH3304B,PRJNA833221,2950505,dikarya,Basidiomycota,,Tremellomycetes,,Trichosporonales,Trichosporonaceae,Apiotrichum,Apiotrichum sp. PDH3304B,FFEF698D
GCA_025531385.1_ASM2553138v1,Apiotrichum sp. PL3306B,PL3306B,PRJNA833221,2950506,dikarya,Basidiomycota,,Tremellomycetes,,Trichosporonales,Trichosporonaceae,Apiotrichum,Apiotrichum sp. PL3306B,F11B9CDA
GCA_025529995.1_ASM2552999v1,Apiotrichum sp. PL3309B,PL3309B,PRJNA833221,2950509,dikarya,Basidiomycota,,Tremellomycetes,,Trichosporonales,Trichosporonaceae,Apiotrichum,Apiotrichum sp. PL3309B,FA4F8E7A
GCA_025529965.1_ASM2552996v1,Apiotrichum sp. Y3305A,Y3305A,PRJNA833221,2950510,dikarya,Basidiomycota,,Tremellomycetes,,Trichosporonales,Trichosporonaceae,Apiotrichum,Apiotrichum sp. Y3305A,F3924A56
GCA_025530845.1_ASM2553084v1,Apiotrichum sp. Y4201-1,Y4201-1,PRJNA833221,2950507,dikarya,Basidiomycota,,Tremellomycetes,,Trichosporonales,Trichosporonaceae,Apiotrichum,Apiotrichum sp. Y4201-1,FE62542B
GCA_025531455.1_ASM2553145v1,Apiotrichum sp. Y4204,Y4204,PRJNA833221,2950503,dikarya,Basidiomycota,,Tremellomycetes,,Trichosporonales,Trichosporonaceae,Apiotrichum,Apiotrichum sp. Y4204,FAAA4B44
GCA_001600595.1_JCM_10691_assembly_v001,Apiotrichum veenhuisii,JCM 10691,PRJDB3717,105713,dikarya,Basidiomycota,,Tremellomycetes,,Trichosporonales,Trichosporonaceae,Apiotrichum,Apiotrichum veenhuisii,F5CEFD05
GCF_010093885.1_Aplpr1,Aplosporella prunicola CBS 121167,CBS 121167,PRJNA196034,1176127,dikarya,Ascomycota,,Dothideomycetes,,Botryosphaeriales,Aplosporellaceae,Aplosporella,Aplosporella prunicola,F844F32B
GCA_033439685.1_Apope1,Apodospora peruviana,CBS 118394,PRJNA370049,516989,dikarya,Ascomycota,,Sordariomycetes,,Sordariales,Lasiosphaeriaceae,Apodospora,Apodospora peruviana,F8F3DE3F
GCA_000696995.1_ApoEleB7760-1.0,Apophysomyces elegans B7760,B7760,PRJNA184884,1274791,mucoromycota,Mucoromycota,,Mucoromycetes,,Mucorales,Mucoraceae,Apophysomyces,Apophysomyces elegans,F7842AA1
GCA_014839865.1_ASM1483986v1,Apophysomyces ossiformis,NRRL A-21654,PRJNA499679,679940,mucoromycota,Mucoromycota,,Mucoromycetes,,Mucorales,Mucoraceae,Apophysomyces,Apophysomyces ossiformis,FC1B5C44
GCA_016097715.1_ASM1609771v1,Apophysomyces sp. BC1015,BC1015,PRJNA463337,2184030,mucoromycota,Mucoromycota,,Mucoromycetes,,Mucorales,Mucoraceae,Apophysomyces,Apophysomyces sp. BC1015,F7A4DD7C
GCA_016097735.1_ASM1609773v1,Apophysomyces sp. BC1021,BC1021,PRJNA463336,2184031,mucoromycota,Mucoromycota,,Mucoromycetes,,Mucorales,Mucoraceae,Apophysomyces,Apophysomyces sp. BC1021,FA0E2668
GCA_016097755.1_ASM1609775v1,Apophysomyces sp. BC1034,BC1034,PRJNA463335,2184029,mucoromycota,Mucoromycota,,Mucoromycetes,,Mucorales,Mucoraceae,Apophysomyces,Apophysomyces sp. BC1034,F326D04B
GCA_000696975.1_ApoTraB9324-1.0,Apophysomyces trapeziformis B9324,B9324,PRJNA184883,1274790,mucoromycota,Mucoromycota,,Mucoromycetes,,Mucorales,Mucoraceae,Apophysomyces,Apophysomyces trapeziformis,FC96D4A1
GCA_002749535.1_ASM274953v1,Apophysomyces variabilis,NCCPF 102052,PRJNA379216,760013,mucoromycota,Mucoromycota,,Mucoromycetes,,Mucorales,Mucoraceae,Apophysomyces,Apophysomyces variabilis,F50698D8
GCA_003415625.1_ASM341562v1,Aquanectria penicillioides,NNIBRFG19,PRJNA445064,1634478,dikarya,Ascomycota,,Sordariomycetes,,Hypocreales,Nectriaceae,Aquanectria,Aquanectria penicillioides,FD586D47
GCA_949709995.1_gpAraPeru1.1,Arachnomyces peruvianus,,PRJEB60196;PRJEB60736,2219007,dikarya,Ascomycota,,Eurotiomycetes,,Onygenales,Arachnomycetaceae,Arachnomyces,Arachnomyces peruvianus,FDFB31ED
GCA_032988195.1_ASM3298819v1,Arachnomyces sp. PD_36,PD_36,PRJNA439304,2135914,dikarya,Ascomycota,,Eurotiomycetes,,Onygenales,Arachnomycetaceae,Arachnomyces,Arachnomyces sp. PD_36,F3B131E9
GCA_003988855.1_ASM398885v1,Arachnopeziza araneosa,D781,PRJNA487672,2259763,dikarya,Ascomycota,,Leotiomycetes,,Helotiales,Arachnopezizaceae,Arachnopeziza,Arachnopeziza araneosa,F3D7DC09
